N  chl  mld meanS  z   jd  sst  sstgrad  sstdt  windspeed  par  w  M  eke  current  Ro  PAR7day
35  -1.205233  -0.482260  -1.002920  -0.431065  -0.653479  1.615027  -1.297846  -0.654981  -0.693041  1.208953  -0.559670  0.428983  -1.729565  -0.975929  0.716364  3.139407
36  -1.419888  -0.916238  -0.659183  -0.548759  1.704408  1.622978  -0.966727  -0.083379  -1.366747  NaN  -0.370374  0.849050  0.417883  0.033136  1.374608  NaN
37  -1.338061  -0.750913  -1.733810  -0.649306  -1.021309  1.766097  -0.584355  2.407174  -0.707946  NaN  -0.365247  0.449251  0.016807  -0.315682  0.291711  1.087227
38  -3.642936  -0.477491  -1.130153  -0.555774  -0.738363  1.695863  0.446436  -0.124208  0.162507  1.418320  0.512882  -0.596038  0.730980  0.402161  0.120948  2.115419
39  -1.022326  -0.494977  -1.199818  -0.524597  -0.644047  1.607076  -0.072012  0.284080  -0.156461  1.221968  -0.058894  -0.164286  0.643063  0.288363  1.193475  3.036223
40  -0.790209  -0.084844  -0.580554  -0.208148  -0.172470  1.497087  -0.043977  -0.083379  -1.459158  0.589995  -0.179933  0.900560  -1.168987  -0.858427  -0.108663  1.806689
41  -2.776831  0.185399  -0.401865  -0.590069  0.016161  1.418902  0.515481  1.590599  0.058172  0.598270  -1.143691  -0.569959  -0.264697  -0.497993  -0.680142  1.259806
42  -3.601843  -0.882855  0.056031  -0.466919  0.582054  1.287710  -0.442522  0.039107  -0.770547  1.341902  0.119454  0.512930  0.543775  0.169740  -0.088964  3.133254
43  -0.727166  -0.585588  0.804311  1.519072  -1.087330  1.006773  0.264791  -0.410009  -1.012008  1.865353  0.126616  0.823459  0.052394  -0.289346  -0.281806  1.340518
44  0.076677  -0.394828  0.615728  1.346817  -1.077899  0.818598  -0.359845  -0.369180  -1.661866  1.714451  0.071639  1.052873  -1.357057  -0.904275  0.252598  2.593018
45  1.069907  -0.680968  1.309090  2.176132  -0.163038  0.340211  0.788780  0.039107  -0.272720  -0.224916  -0.182042  0.363151  0.804473  0.504090  1.560508  -0.104093
46  1.037652  -0.418673  1.193769  2.555715  1.308283  0.485980  0.857904  0.079936  -1.480025  NaN  0.253714  0.989981  0.937157  0.705178  0.566755  NaN
47  0.468761  0.368211  0.033232  -0.467698  -0.794952  1.120738  -0.728957  1.018997  -0.687079  0.970220  -0.022068  0.659203  -0.328767  -0.533696  -0.997141  0.673857
48  0.799399  -0.204069  0.918618  1.761475  0.214223  0.732462  0.107840  -0.205865  -0.696022  0.110058  -0.752411  0.603424  0.721552  0.389542  -5.539284  -1.184454
49  1.012730  -0.776348  1.183360  2.158985  0.949884  0.630424  0.576906  -0.205865  0.046248  1.835987  -1.663538  0.160657  1.101649  0.988390  0.238657  0.372600
50  0.998034  -0.776348  -0.494424  -0.250237  -0.587458  -0.804739  3.266548  0.120765  -0.284644  -0.752105  -0.149023  0.668155  0.488204  0.107620  -0.882348  -1.270826
51  1.583767  -0.013309  -0.185421  1.375656  0.582054  -0.718603  -0.945370  0.161594  -0.815262  0.153240  -0.422514  0.837662  -0.415507  -0.579014  0.241170  -0.160823
52  0.673858  3.010233  0.102971  -0.558892  0.487738  -1.073749  -0.694986  1.508942  0.708030  NaN  -0.094445  -0.117391  0.838533  0.553550  -1.360589  -1.490271
53  0.934548  -0.153199  1.088148  0.770038  -0.002702  0.599945  0.887044  3.346235  -1.098457  -0.345384  -0.075469  0.877743  0.815554  0.520023  1.838836  -0.086017
54  1.030120  -1.016387  1.274410  1.939965  0.789548  0.077827  -0.239548  -0.083379  -0.770547  1.180988  -0.142549  0.734698  -1.273521  -0.884819  0.798538  0.994619
55  0.860341  -0.712761  1.391573  2.103645  0.987610  0.069875  -0.192585  1.345627  -0.994122  1.765242  -0.043055  0.856094  -0.537643  -0.637377  0.345576  -0.890257
56  1.260357  -0.873317  1.144174  2.227575  1.289420  0.329609  -0.647988  -0.165036  0.398006  NaN  -0.212467  -0.182043  -0.449858  -0.596050  0.134036  NaN
57  1.517347  -0.343959  -0.551840  -0.618908  -1.115625  -0.502599  0.233064  -0.410009  0.943529  -0.278176  -0.207218  -0.403153  0.745459  0.421738  -0.203690  0.443230
58  0.748795  -0.073716  0.466400  -0.791162  0.365128  -0.592711  -0.754801  0.243251  -0.442637  -0.705587  0.181842  0.677866  0.851251  0.572390  -0.503216  -1.027342
59  0.958495  0.082071  -0.611605  0.035035  -1.662654  -1.207591  -0.794033  -0.165036  -0.198195  NaN  -0.315522  0.550093  -1.001416  -0.810866  -0.299036  NaN
60  0.626610  0.368211  -0.563043  -0.071747  -0.672342  -1.377214  -1.016945  0.079936  0.877947  -0.810304  0.274000  -0.278386  0.021543  -0.312224  -0.344420  -1.427251
61  0.039956  -0.760451  -0.756246  -0.629820  -0.955288  0.721861  0.548285  -0.450837  -0.871901  1.332691  -0.029793  0.801221  -0.652745  -0.687062  -0.332847  -0.075605
62  -0.308118  -0.339190  -0.470245  -0.657100  -0.776089  0.623798  0.784720  -1.839014  -1.667828  0.760919  -0.141103  1.065858  -0.110472  -0.403571  0.192062  0.152879
63  0.190802  -0.100740  0.021931  -1.126318  -0.408259  0.368039  0.067695  0.039107  -0.588706  -0.083758  -0.392475  0.654877  -1.075979  -0.832874  -0.304368  -0.143982
64  -0.218484  -0.084844  0.490469  -0.918210  0.317970  -0.101072  -0.373168  -0.899954  -1.357804  0.036910  -0.063697  0.997314  -0.478311  -0.609787  -0.458852  0.072084
65  -1.496299  -0.680968  -0.025398  -0.973549  -1.502318  1.035927  0.085333  0.447395  0.502341  2.534768  -0.689642  -0.529122  -0.019931  -0.342042  0.567725  NaN
66  -1.076310  -0.720710  0.472726  -0.851179  -1.134488  0.947140  -0.276151  -0.246694  -1.277317  1.983886  -0.152865  0.939878  -0.487230  -0.614024  -0.964349  1.223405
67  -0.405569  0.082071  0.928907  -0.660997  -0.229059  0.641025  -0.758132  -0.083379  0.335405  0.007544  0.619646  -0.223554  0.150164  -0.212717  -0.019408  -0.156482
68  -0.926092  0.773575  1.178677  -0.809869  0.402854  0.414420  -0.356390  -0.369180  -0.016354  0.514710  -0.133236  0.044117  0.026279  -0.308751  -0.827168  0.994097
69  -0.636654  -0.736606  1.143373  -0.733484  0.761253  0.334910  0.398367  0.569881  -1.053742  1.439477  -0.044650  0.861082  -0.997728  -0.809740  2.332814  1.635841
70  -0.258867  -0.890804  0.145653  -1.206599  -1.681517  0.299130  -0.923741  0.039107  -0.263777  NaN  -0.600351  0.456631  -0.217388  -0.470343  -0.324871  NaN
71  0.074259  -0.221555  0.407539  -0.950946  -0.587458  0.439599  -0.835539  -0.165036  2.210454  0.288257  1.015586  -3.615370  -0.619098  -0.673041  -0.267298  0.278124
72  0.777888  0.247396  0.598086  -1.149701  0.798979  -0.026862  0.799381  -0.246694  -0.192233  1.243191  0.850269  0.355923  -0.512836  -0.626012  0.214030  0.340348
73  1.207272  -0.490208  0.548816  -0.649306  1.100789  -0.013610  -0.824813  3.346235  -1.050761  2.062374  0.075486  0.874226  -0.225825  -0.475357  -0.270788  1.369996
74  -0.342192  -0.684147  -0.546382  -0.660218  -0.889268  0.678130  -0.354095  -0.328351  -1.757258  1.113313  0.057619  1.095527  -1.316761  -0.895064  -1.357146  2.014679
75  0.250019  -0.006950  0.039334  0.816804  -0.389396  0.325634  0.253456  -0.328351  -1.858612  -0.223047  -0.125118  1.104455  -0.119323  -0.409334  0.400513  -1.379752
76  0.151744  0.946848  0.491574  -0.759985  0.402854  -0.176607  0.564015  0.978168  -1.611189  -0.009876  0.165827  1.062078  -0.660667  -0.690305  0.313600  -0.795699
77  1.056643  1.258423  0.710485  1.224447  0.497170  -0.313100  -1.360456  0.039107  -1.265393  -0.007273  -0.200611  0.973082  -0.813224  -0.748646  0.556204  0.037772
78  1.201050  -0.804962  0.822126  1.983613  0.600917  -0.297197  0.415577  0.039107  -1.083552  0.341984  0.117022  0.935214  -0.505242  -0.622484  0.023669  -0.346368
79  -0.991486  -0.323293  0.490981  -0.843384  -1.181646  0.814623  -0.431293  -1.594042  0.034324  NaN  -0.423160  0.138620  -1.488474  -0.932200  0.253252  -0.491255
80  -0.287903  0.310983  0.779328  -0.783368  -0.578027  0.680780  -1.072442  -0.124208  2.079290  0.448103  1.990924  -3.630392  -0.388109  -0.565062  0.079840  1.156319
81  0.643186  0.864186  0.778969  -0.816884  0.798979  -0.128900  -0.627230  0.284080  -0.189252  1.168308  -1.303157  0.375762  -0.650863  -0.686288  0.149694  -0.034040
82  0.697983  -0.645995  0.755695  -0.851179  1.100789  -0.074568  -1.106260  1.386456  -1.330975  2.041283  -0.097582  0.981123  -0.770427  -0.733041  -0.046099  1.352908
83  1.001080  -0.965518  0.481782  -0.727249  1.204536  0.117582  -1.006949  -0.491666  -0.028278  NaN  -0.216529  0.252416  0.553213  0.180586  -0.125859  0.850392
84  0.360447  -0.502925  0.211826  -0.417035  -1.096762  0.548263  -0.120358  -0.328351  -0.499276  1.585040  -0.186267  0.622956  0.149731  -0.213070  -0.065289  1.158627
85  0.220032  -0.585588  -0.449477  -0.317268  -1.143919  0.606571  -0.569292  0.814853  0.338386  1.757366  -0.080469  0.043885  0.011394  -0.319618  0.060999  NaN
86  1.244148  -0.490208  0.523555  -0.594746  1.138515  -0.632466  0.038972  -0.573324  0.299633  1.803084  -0.351404  0.272079  -0.069042  -0.376008  0.346151  -0.651444
87  0.987267  0.654350  0.655941  -0.314150  0.233087  -0.476096  -0.507211  -0.450837  0.016438  -0.602872  0.017514  0.361083  -0.506636  -0.623133  0.508819  -1.004513
88  1.666071  -0.871728  0.850322  0.869026  1.138515  -0.374058  -0.334347  0.978168  -0.311473  0.121271  0.130736  0.552567  -1.725697  -0.975296  -0.124846  -0.642378
89  0.018880  0.845110  0.215215  -0.742838  0.695232  -0.249491  -0.712379  -0.287522  -0.621497  0.824056  -0.179639  0.665542  -1.547821  -0.943816  -0.397713  1.151676
90  0.085199  -0.490208  -0.340987  -0.948608  1.327146  -0.016261  -0.863760  0.447395  -0.305511  2.519685  0.321397  0.450168  -1.488765  -0.932258  0.098422  0.303481
91  -0.212700  -0.347138  -1.504955  -0.586172  -1.096762  0.444899  0.030845  -0.450837  1.524824  NaN  -0.458279  -1.820782  -1.128043  -0.847429  0.217759  2.444258
92  0.381357  0.845110  -0.342721  -0.485625  0.714095  -0.348879  -0.214072  -0.532495  -0.350226  0.868573  -0.354303  0.565486  -1.689350  -0.969248  -0.383762  0.561304
93  1.610614  -0.324883  0.628880  -0.371049  -0.747794  -0.150103  2.135162  5.550987  0.093944  -0.743829  -0.396193  0.374148  -0.293097  -0.514061  -0.017774  -0.982398
94  1.361981  0.719526  0.665808  -0.247119  -0.445985  -0.193834  4.370358  -2.043158  -0.302530  -0.450435  -0.235468  0.571308  0.691227  0.349643  0.066031  -0.902372
95  1.032111  -0.820858  1.288018  -0.484066  1.044200  0.158662  0.347771  -1.022440  -0.854015  1.852406  0.024874  0.817804  1.551766  2.002160  1.274539  0.916764
96  1.339606  -0.293090  -0.295523  -0.636056  -1.049604  -0.400561  0.006329  -0.614152  0.779574  NaN  -0.892011  -0.330849  -0.150431  -0.429245  -0.007006  -0.740782
97  0.328823  -0.854241  -0.613420  2.115337  -1.257098  -0.704026  1.220841  -0.573324  -0.326378  NaN  -0.624303  0.657822  -0.372961  -0.557206  -0.220171  NaN
98  1.022301  1.353803  -0.119302  2.268885  0.148203  -0.942557  -0.539538  0.079936  0.913719  -0.945655  -0.950633  -0.524356  -0.719204  -0.713596  -0.226889  -1.284562
99  0.185772  -0.790655  -0.683917  2.316430  1.346009  -0.429715  -0.283192  2.488832  -0.815262  NaN  0.236833  0.938186  0.536267  0.161173  0.074207  NaN
100  1.057850  3.865473  0.882354  -0.611893  0.638643  -0.790162  0.996578  0.896511  -0.970274  NaN  -0.119733  0.913967  0.857930  0.582368  0.057484  NaN
101  1.268132  -0.677789  -0.623091  2.347607  -1.257098  -0.637767  0.946474  0.896511  -0.368112  NaN  -0.021825  0.688740  -0.437101  -0.589782  -0.384707  NaN
102  -0.512197  0.654350  -0.700402  -0.904180  0.185929  -0.310449  -0.855827  0.733196  2.457877  -0.551615  -1.366456  -3.842660  -0.152192  -0.430357  0.203993  -0.989678
103  0.265959  -0.092792  -0.940445  -0.480949  -0.700637  -0.297197  -0.763119  0.284080  -0.895749  0.013350  -0.010811  0.873621  -1.641730  -0.961033  0.664556  -0.168872
104  0.373976  -0.299448  -0.253572  -0.687498  1.110220  -0.730529  -0.730648  -0.083379  0.338386  1.839124  -0.303470  0.124021  -1.560052  -0.946138  -0.445931  -1.204481
105  0.400055  0.241038  -0.549548  -0.289988  -0.219628  -0.124925  -1.163743  -0.410009  0.150583  -0.618022  -0.409521  0.213202  -0.022614  -0.343934  0.677327  -0.661746
106  0.711498  0.654350  -0.148593  2.115337  0.233087  -0.367432  -0.101878  -0.287522  -0.728813  -0.404517  -0.026303  0.769131  -0.411905  -0.577198  0.220671  -0.530210
107  0.614758  0.463591  -0.143147  -0.684380  0.685801  -0.303823  0.190180  -0.287522  -0.973255  0.709128  -0.342467  0.839245  -1.944198  -1.007945  -0.673903  -0.322989
108  0.597490  -0.847883  0.126313  -0.762323  1.053631  -0.250816  0.083263  -1.144926  0.278766  1.797010  -0.020981  0.007238  -0.685413  -0.700294  0.206559  0.543283
109  0.415061  0.749730  0.135302  -1.030448  0.157634  0.052648  -0.640575  -0.654981  0.168469  -0.208231  -0.470266  0.108301  -0.920818  -0.785441  0.254936  0.037909
110  0.519761  0.400004  0.248089  -1.079552  0.421717  -0.054691  -0.354670  -0.736639  -0.061069  0.278380  -0.964285  0.199434  -1.107034  -0.841633  0.150540  -0.526749
111  -0.414313  -0.871728  0.221615  -0.877679  1.242262  0.141435  -0.317520  0.529052  -1.023932  NaN  -0.221122  0.855803  -0.375389  -0.558472  0.364007  0.039091
112  -2.151181  -0.967108  -0.305134  -0.908857  1.694976  0.655602  -0.423289  1.018997  -0.347245  NaN  0.446369  0.511937  -0.993412  -0.808419  0.367108  NaN
