N  chl  mld meanS  z   jd  sst  sstgrad  sstdt  windspeed  par  w  M  eke  current  Ro  PAR7day
963  0.013244  -0.797013  -1.404145  1.266536  1.449756  1.318189  -0.477214  0.202422  -0.642364  NaN  -0.332721  0.417136  0.935831  0.703052  -2.685134  -0.588093
964  -0.647141  -0.728658  -1.186465  2.322665  -1.511750  1.459982  0.561788  -0.165036  -0.618516  NaN  0.340444  0.440036  -0.381135  -0.561458  1.836933  NaN
965  -0.165492  -0.514053  -0.720080  2.274341  -0.813815  1.289035  -0.775932  0.243251  -1.038837  1.503215  -0.046838  0.750429  1.460730  1.764455  1.712794  1.104946
966  0.532092  -0.460005  0.393298  2.019467  0.478307  0.830525  -0.954336  0.610710  -0.922578  1.012800  0.025132  0.604772  -0.623468  -0.674885  -1.162259  0.592458
967  -0.904884  -0.892393  0.373818  1.958671  0.780116  0.846427  0.131637  0.814853  -0.827186  1.659523  -0.397216  0.550234  0.669488  0.321670  0.186308  1.121759
968  -2.089602  -0.650764  -0.077079  0.747435  1.666682  1.204224  -0.284982  0.406566  -0.684098  NaN  -0.155953  0.485919  -1.047218  -0.824551  0.711464  NaN
969  0.001671  -0.337600  -0.282944  -0.860532  -0.898699  0.566815  0.957416  -1.226583  -0.275701  1.187663  0.355825  0.408797  0.236905  -0.139145  0.639756  -0.437932
970  0.333357  0.749730  1.335381  2.444257  -0.040428  -0.065292  -0.502014  -0.165036  1.506938  -0.639313  -0.854823  -1.724166  -1.849061  -0.994477  -0.594066  -0.696800
971  0.829543  -0.871728  1.377747  2.604820  0.412286  -0.224313  -0.721478  0.079936  -0.233967  -0.076684  0.789135  0.426143  -1.295543  -0.890084  -0.040014  -0.485431
972  0.320601  -0.323293  -0.291910  -0.335975  -1.021309  1.228077  -0.490272  -0.042550  -1.336937  1.641904  0.123886  0.962651  0.021005  -0.312617  5.536731  2.996553
973  0.229826  -0.680968  0.470467  -0.724911  -1.530613  0.924612  -0.292687  -0.573324  NaN  NaN  NaN  NaN  1.184461  1.146805  -0.489267  NaN
974  -0.366303  -0.895573  0.522312  -0.486405  -1.445729  1.009423  0.818755  3.550379  -1.536664  NaN  -0.196349  1.037623  0.931343  0.695880  1.033896  NaN
975  0.118261  -0.394828  0.760706  -0.295444  -0.813815  0.841126  -0.746267  -2.043158  0.982282  0.994513  -3.180024  -1.062977  1.884472  3.047036  -0.224914  0.583804
976  0.983156  1.131250  1.589263  -0.317268  0.091613  -0.091796  -0.457061  -0.695810  0.418873  -0.438755  -0.660440  -0.141129  0.373973  -0.011150  -0.428094  -0.764930
977  0.970226  0.749730  1.464240  -0.530832  0.176497  -0.042764  -0.696137  -0.083379  -1.143172  -0.343782  0.081535  0.929269  -0.212938  -0.467685  -1.018503  -0.488618
978  2.626409  -0.339190  -0.055126  -0.353901  -1.436297  -0.287921  1.125032  -0.369180  0.892852  NaN  0.435241  -0.364014  -0.140280  -0.422806  0.427940  NaN
979  0.551335  -0.108689  -0.177023  -0.255693  0.732958  -0.877623  2.070814  0.161594  1.044883  0.247946  0.486454  -0.579845  1.200511  1.178828  0.490007  -0.256507
980  -1.201311  -0.776348  -0.230520  -0.254134  -1.313687  1.560695  -1.217274  -0.369180  -0.418789  2.393544  -0.202510  0.177136  -1.436574  -0.921546  0.555118  NaN
981  -0.515702  0.853058  0.866197  1.918920  0.487738  1.200248  -0.146765  0.406566  -1.432329  1.101900  -0.751461  0.913924  -1.463414  -0.927115  -0.571704  1.429472
982  -0.348156  1.202785  0.777880  -0.351563  0.751822  1.000147  -0.526789  0.733196  -0.454561  1.622816  -0.297524  0.274105  0.028336  -0.307238  -1.003816  -0.288539
983  -0.384028  -0.874907  -1.568697  0.200274  -1.332550  1.397699  -0.250856  -0.165036  -0.833148  NaN  -0.576562  0.622935  -0.320404  -0.529146  -1.130153  NaN
984  -2.097608  -0.576050  -2.593109  -0.142676  -0.530869  1.499737  0.324447  -0.695810  -0.520143  0.943657  0.029424  0.245058  0.612254  0.250468  -1.054791  1.106128
985  -1.003791  -0.204069  -0.902745  -1.145024  -0.625184  1.351318  -0.650427  -0.124208  -0.320416  0.993913  -1.066410  0.160054  -0.646544  -0.684508  0.020905  0.466334
986  0.243082  0.787882  -0.980355  0.155067  -0.342238  -1.118805  0.586559  -1.226583  -0.889787  -1.109438  -0.023698  0.883228  1.182617  1.143153  0.231485  -1.295221
987  -1.139557  -0.393239  -0.556587  -0.186324  -0.530869  1.376496  -0.467157  -0.614152  -1.733410  0.956404  0.257663  1.030693  -0.732672  -0.718792  0.018253  0.976350
988  -0.378046  -0.534719  0.660699  -0.488743  0.676369  0.862329  -0.428698  0.610710  0.869004  NaN  0.788168  -1.642829  0.597942  0.233202  -0.701203  1.159396
989  -1.816427  -0.727068  0.187839  -0.549539  0.987610  1.163143  -0.134369  2.243859  -1.632056  2.048358  0.371550  1.003813  0.534597  0.159275  0.309147  0.330485
990  -1.778336  -0.390059  -0.562224  -0.688277  -0.710068  1.185671  -0.440821  -0.777467  0.952472  1.009664  0.248822  -1.413628  -0.736096  -0.720103  -1.642187  0.668143
991  -0.457750  -0.038743  0.222981  -1.019536  -0.408259  0.925937  0.019639  1.100654  -0.245891  0.391039  -0.221207  0.191100  -2.300349  -1.049651  -0.397698  0.893577
992  -0.514540  -0.668251  -0.410649  -0.912754  1.600661  1.061105  -0.978773  0.406566  -0.523124  NaN  -0.547036  0.450190  -3.529019  -1.125754  -0.477097  NaN
993  -3.252694  -0.827217  -0.461185  -0.883915  -1.200509  1.583223  -1.005676  0.529052  -1.655904  2.186779  0.035185  1.020541  0.488810  0.108282  -1.092552  2.009954
994  -0.254176  0.600302  0.657102  -0.374946  0.204792  0.645001  -0.633019  0.039107  -0.248872  0.341717  -0.082245  0.123362  0.329811  -0.054040  0.293775  0.342326
995  -0.909824  0.085250  0.748939  -0.746735  0.506601  0.613196  -0.529292  0.079936  -0.669193  0.930842  -0.265283  0.524551  -0.457161  -0.599608  0.540982  0.785311
996  0.092136  -0.347138  -1.662640  -0.907298  -0.738363  0.228896  -0.317572  -0.450837  -0.535048  0.621830  -0.160258  0.591754  -0.857388  -0.764161  -0.157697  -0.428811
997  -0.724020  -0.219965  -1.407655  -0.753750  -0.436553  0.075176  -0.954843  -0.777467  0.162507  -0.183937  0.007291  0.128146  -1.594622  -0.952569  -0.225902  -0.132142
998  -0.673617  -0.037154  -1.057179  -0.679704  -0.238491  -0.044089  -0.899442  0.202422  -0.228005  -0.463917  -0.128067  0.433732  -2.032334  -1.019479  0.072950  0.272767
999  0.153939  0.558970  -0.839681  -0.583834  0.063319  -0.184558  -0.333483  0.569881  -0.314454  -0.498022  -0.410007  0.492696  -0.944140  -0.792979  0.301198  -0.619219
1000  0.263777  -0.445698  -0.642083  -0.468478  0.468875  -0.367432  -0.676079  -1.022440  0.693125  0.130481  0.199519  -0.419340  -1.393124  -0.912255  -0.563709  -0.096236
1001  0.751102  -0.191351  -0.794080  -0.505111  1.072494  -0.301173  -0.129298  -0.654981  0.532151  1.847734  -0.365525  -0.302878  -0.952485  -0.795640  -0.131510  1.627463
1002  1.805785  -0.615792  0.062859  -0.155926  1.393167  -0.733179  -0.960270  0.447395  -0.362150  NaN  -0.334221  0.649268  -1.016227  -0.815350  0.164786  NaN
1003  0.519128  -0.398008  -1.119205  -0.611893  -1.002446  -0.025537  0.266389  -0.777467  -0.064050  0.981566  -0.089034  0.361254  -0.973603  -0.802290  -0.216979  -0.163487
1004  0.807526  0.086840  -0.769113  -0.855076  -0.606321  -0.309124  -0.598995  -0.450837  1.068731  -0.002468  0.027028  -0.824745  -0.158861  -0.434550  -0.595978  -0.498480
1005  0.447426  -0.450467  -0.533015  -0.979785  0.402854  -0.534403  0.456175  -0.001721  -1.611189  -0.217508  -1.112121  1.067481  -1.021274  -0.816865  -0.013852  -1.320220
1006  0.456743  -0.246990  -0.601372  -0.776353  0.808411  -0.535729  0.484265  -0.695810  -1.411462  0.975759  -0.088712  1.024621  -0.045369  -0.359813  0.132787  0.174225
1007  0.813628  -0.838345  -0.800565  -0.890150  1.308283  -0.378033  -1.095398  -0.165036  0.702068  2.385068  -0.622374  -0.317066  -0.096559  -0.394424  0.188742  -0.700316
1008  0.732964  -0.719120  -0.281857  -0.501214  -1.606065  -0.486697  -0.392672  0.243251  -0.141556  2.573812  -0.422694  0.506742  -0.366265  -0.553701  0.070971  NaN
1009  0.581150  -0.839934  -0.264988  -0.662556  0.817842  -0.538379  -0.422877  0.079936  -0.183290  0.235932  -0.304495  0.448209  -0.158317  -0.434209  -0.288960  -0.063819
1010  -0.089527  -0.355087  0.068941  2.862811  -0.540300  0.927262  -0.233740  -0.287522  -1.357804  0.626235  1.376017  0.908395  0.013133  -0.318356  -1.231715  0.815612
1011  0.028595  0.463591  0.965002  2.408403  -0.087586  0.622473  -0.518513  -0.450837  0.061153  0.051593  0.237483  -0.037644  -1.047868  -0.824741  1.080726  0.431829
1012  1.202057  -0.752503  1.252916  1.972701  0.365128  0.497906  0.327387  0.039107  0.007495  0.533465  0.178754  -0.015753  -1.286898  -0.888029  0.918604  0.256998
1013  0.327700  -0.204069  1.116334  0.809789  1.081926  0.647651  -0.571946  1.018997  -0.988160  2.171429  -0.048863  0.784121  0.617627  0.257005  -0.539912  2.198988
1014  -0.111701  -0.585588  -0.133689  -0.060056  -0.728931  1.141941  0.170808  -0.410009  -0.874882  1.143346  0.725263  0.702260  0.755540  0.435512  0.563784  0.935637
1015  1.047358  0.678195  0.807446  0.728729  0.355697  0.701983  0.624052  -0.491666  -1.327994  0.552953  0.286401  0.901739  -0.106251  -0.400807  -0.309398  0.277932
1016  -0.202031  -0.680968  0.160901  -0.381961  0.808411  0.886182  -0.670944  0.324909  0.344348  1.465573  2.457564  -0.179131  2.159532  4.166506  1.351208  2.222917
1017  -3.109173  -0.490208  0.524536  -0.447433  -1.464592  1.514314  -0.616824  -0.491666  -0.326378  NaN  -0.087514  0.076320  -2.514550  -1.069250  -1.033593  NaN
1018  -0.777241  0.177451  0.526362  0.011652  -0.200765  1.408300  -0.955499  -0.491666  0.067115  0.560295  1.273636  -0.427023  -0.602147  -0.665823  0.008092  0.873798
1019  -1.284325  0.654350  0.556570  -0.213604  0.072750  1.247954  -1.011662  -0.287522  -0.788433  0.565367  0.140980  0.469461  -0.006048  -0.332178  -0.219335  1.703422
1020  -0.692701  -0.259707  0.664093  -0.077983  0.167066  1.224101  0.263542  0.529052  -0.952388  0.670618  1.574442  0.633482  -1.313492  -0.894303  0.577386  0.844046
1021  -0.748447  0.749730  0.980969  -0.066291  0.251950  1.209524  -0.394144  -0.124208  -0.272720  0.800029  0.514393  -0.070567  -0.399379  -0.570840  -0.184923  0.041563
1022  -1.682786  1.624046  1.142853  -0.341431  0.789548  1.087608  -0.581568  -0.695810  0.016438  1.685285  -0.549817  -0.366970  0.044165  -0.295507  0.163844  -0.934597
1023  -1.533759  -0.585588  0.874068  0.063874  0.978179  1.118087  -0.096606  1.100654  -0.365131  NaN  -0.612969  0.093966  -0.417814  -0.580174  0.566867  -0.051786
1024  -2.416859  -0.879676  0.332250  -0.477052  1.694976  1.463958  -0.859866  0.733196  -1.313089  NaN  0.286221  0.871399  0.537890  0.163020  -1.089653  NaN
1025  -0.929616  -0.490208  -0.206587  -0.320386  -0.832678  1.593825  -0.273280  -0.001721  -1.903327  1.495540  -0.377577  1.073272  0.856916  0.580849  0.624050  3.530992
1026  -2.101293  -0.299448  -0.209794  -0.371049  -0.568595  1.502388  -0.615855  -0.165036  -1.468101  0.977962  -0.377486  0.932645  0.934944  0.701634  -1.485404  1.157747
1027  -3.552557  0.845110  0.658372  -0.545642  0.336834  1.132664  -0.966120  0.079936  0.833232  0.790285  -0.440956  -1.745849  -0.498084  -0.619137  -1.074181  1.360710
1028  -0.936297  -0.021257  0.787416  -0.302459  0.789548  1.122063  -0.645954  0.733196  -0.463504  NaN  0.796751  0.210660  0.187902  -0.181379  -0.237778  1.172390
1029  -1.147779  -0.903521  -0.575907  -0.761544  -1.398571  1.565996  -0.296901  -1.471556  -0.970274  0.376690  1.581948  0.748334  -1.120573  -0.845380  1.643772  -0.722184
1030  -0.714477  0.233089  0.222415  -0.223736  0.138771  0.884857  -0.617501  -0.165036  0.502341  0.356600  0.243205  -0.851959  -1.467828  -0.928018  0.451677  0.352023
1031  -1.711233  0.837162  0.837769  -0.198015  0.676369  0.641025  -0.543516  0.039107  0.436759  1.325150  -0.579362  -0.680721  0.191404  -0.178419  -2.693862  0.807151
1032  -1.844651  -0.386880  0.399425  -0.527715  1.129084  0.972318  -0.317091  1.508942  -0.818243  2.252586  0.472509  0.637190  -1.128337  -0.847509  -0.575304  -1.168273
1033  -2.103062  -0.967108  -0.455880  -0.749073  -1.398571  1.436129  -1.062726  0.978168  -1.307127  NaN  0.193164  0.915638  -0.032558  -0.350912  0.326310  NaN
1034  -1.042717  -0.569691  -1.124367  -0.621246  -0.955288  1.562020  -0.853464  -0.287522  -0.254834  1.705575  -0.215740  0.205884  0.466537  0.084191  0.729692  1.082172
1035  -1.279886  -0.561743  -0.642179  -0.828575  -0.502574  1.108811  -0.188369  -0.165036  -0.070012  0.671419  -0.130280  0.024160  -0.102342  -0.398239  0.249768  -0.292056
1036  -0.136962  1.298164  0.531982  0.751332  0.233087  0.711259  -0.098327  0.079936  -0.284644  0.441362  0.039905  0.150273  0.243016  -0.133754  -0.464198  -0.606664
1037  0.432770  0.463591  0.942568  -1.240115  0.110476  0.554889  0.087565  -0.450837  0.585809  0.097511  -0.367163  -0.782389  0.414191  0.029348  0.391814  -0.309638
1038  -0.846758  -0.776348  0.049228  -0.907298  1.553503  0.895458  0.070204  0.692367  -2.001700  NaN  0.012664  1.115876  1.186698  1.151241  -0.222527  NaN
1039  0.137174  -0.680968  0.685120  0.315630  -1.389140  0.951116  0.284137  0.039107  0.085001  NaN  0.350825  0.034396  0.566442  0.195938  -0.429748  NaN
1040  -2.759546  -0.903521  0.493173  0.406823  -1.030741  0.997497  -0.648300  0.978168  -0.666212  1.751493  -0.075519  0.628794  -0.203855  -0.462225  1.116094  1.381506
1041  0.352988  -0.347138  0.734661  1.575191  -0.578027  0.811972  -0.852101  -0.532495  -0.371093  0.515445  0.696192  0.449859  1.427919  1.683225  -1.731605  -0.367329
1042  0.688226  0.272831  1.312869  0.318748  0.327402  0.402494  -1.017508  0.161594  1.205857  0.330438  -0.153561  -1.650987  -0.632169  -0.678536  -0.784844  0.499795
1043  0.869888  1.282268  1.344805  0.324983  0.412286  0.381291  -0.978271  -0.410009  0.845156  0.533798  0.532174  -1.053049  0.844708  0.562672  -0.557847  1.024014
1044  1.196315  -0.752503  1.197920  0.872923  0.865000  0.488630  0.447181  -0.001721  -2.213351  1.654851  -0.314575  1.142136  -1.644813  -0.961575  -0.147542  0.857837
1045  0.311228  -0.204069  -1.223454  -0.661777  -0.719500  0.003617  -0.075402  -1.022440  0.231070  0.378692  -0.120568  0.013582  0.073355  -0.273453  -0.342482  -0.033463
1046  0.850948  0.082071  -0.760004  -0.634497  -0.181902  -0.252142  -0.539817  -0.328351  1.599349  -0.678890  0.802680  -1.799103  -1.515218  -0.937508  0.036216  -0.649356
1047  -0.360262  -0.545846  -1.219531  -0.717896  -1.191077  0.623798  0.305963  -0.246694  -0.740737  2.027401  1.397879  0.762486  0.157847  -0.206418  -0.029855  NaN
1048  0.311217  0.749730  -0.541893  -0.820781  -0.200765  -0.574159  -0.772232  -0.246694  0.809384  -0.806833  -0.488434  -0.399950  -1.214247  -0.870145  -0.287398  -1.209343
1049  -0.013187  0.272831  -0.452636  -0.696072  -0.936425  -0.442967  -0.656678  0.120765  NaN  0.259091  NaN  NaN  -0.008952  -0.334251  -0.269926  -0.392026
1050  0.602549  0.304624  -0.936528  -0.620467  -0.266785  -0.179257  0.775283  -0.859125  0.711011  -0.514907  -0.579939  -0.471593  -1.250444  -0.879194  0.324729  -0.172498
1051  0.442933  -0.652354  -0.897745  -0.629820  1.421461  -0.192509  -0.756124  -0.573324  -0.108765  NaN  -0.240300  0.394186  -0.970917  -0.801451  -0.781972  -1.215882
1052  0.616763  -0.633278  -0.739164  -0.227634  -1.455160  -0.167331  0.040079  0.161594  -0.493314  NaN  -0.355372  0.654887  -0.914837  -0.783484  1.096168  NaN
1053  1.035101  -0.611023  -0.543620  -0.593187  -0.455416  -0.396585  0.218387  -0.940782  0.010476  -0.527788  0.649222  0.423423  -0.226400  -0.475697  -0.018845  NaN
1054  0.648764  0.619378  -0.183880  -0.604878  0.855569  -0.808714  -0.089328  0.161594  -0.126651  0.978295  -0.372464  0.503149  -1.321464  -0.896155  -0.258816  0.895473
1055  1.036556  -0.014899  0.419160  2.160544  -1.021309  0.252749  -0.735609  0.079936  0.025381  1.279232  -0.155877  0.249756  0.341958  -0.042405  1.060924  0.134528
1056  1.124079  2.053255  0.954985  1.247830  0.270813  -0.262743  0.109530  -0.001721  0.436759  -0.456709  1.962513  -0.050123  0.026598  -0.308516  0.822387  -1.254755
1057  -0.200691  0.307803  0.728573  -0.048364  -0.502574  0.785469  0.079775  0.243251  -1.006046  0.482141  0.069879  0.774454  -0.953851  -0.796074  -0.266994  -0.678778
1058  0.236548  -0.809731  1.225911  0.506591  1.091357  0.585368  -0.424443  0.161594  -0.624478  NaN  -0.051292  0.594893  -0.002583  -0.329698  -2.680607  -0.727376
1059  -0.326185  -0.549026  1.173154  0.341351  1.185673  0.617172  -0.661948  1.182312  -0.764585  NaN  -0.378255  0.683458  0.069008  -0.276772  -1.218650  -0.903828
1060  -0.725592  -0.498156  -1.027816  -1.166848  -0.662910  1.232052  -0.424366  -0.410009  -1.116343  0.905681  -0.106517  0.841551  1.660179  2.310517  1.173924  1.704274
1061  0.040373  0.172682  -0.280255  -2.793521  0.827274  0.822574  0.755788  -0.124208  -0.421770  1.685019  -0.256515  0.259828  0.273334  -0.106580  -1.737560  3.364622
1062  -1.928680  -0.793834  -2.193762  -1.008624  -0.757226  1.689237  -0.099540  -0.328351  -0.323397  1.523238  0.943009  -0.004838  0.258703  -0.119782  0.433180  1.128682
1063  -0.390734  0.355493  -0.815066  -1.147362  0.044456  1.347342  -0.795546  -0.001721  -0.666212  0.613554  0.532128  0.305430  0.231032  -0.144301  0.190456  1.254311
1064  -0.622311  0.703630  -0.480880  -1.119303  0.544328  1.237353  -0.704836  1.876400  -0.746699  1.246195  0.180423  0.447746  -0.796021  -0.742442  1.265176  0.210323
1065  -0.620510  -0.154789  -0.823834  -0.890930  0.063319  1.151217  -0.099242  0.120765  -0.233967  0.497024  -0.151416  0.033171  -2.013253  -1.017055  1.585508  1.127913
1066  -0.495591  -0.587178  -0.404505  -1.205820  0.365128  1.096885  -0.056724  0.202422  -0.072993  0.830597  0.026587  -0.241883  -0.089821  -0.389954  -0.034473  1.341095
1067  -1.856568  0.331648  0.181580  0.327321  -0.115881  0.939189  -0.136320  0.937340  -0.251853  0.167189  -0.176554  0.128144  0.613333  0.251779  -1.553479  0.230625
1068  -0.845728  0.193348  0.182204  0.106742  0.082182  0.871605  0.164593  -1.226583  -0.543991  0.241138  -0.462642  0.482700  0.138239  -0.222410  -1.048867  0.454384
1069  -0.448898  0.333238  0.321950  0.148052  0.185929  0.774868  -0.780319  -0.532495  0.943529  0.334642  -0.661734  -1.635264  0.397110  0.011977  -0.685569  -0.513919
1070  -0.319627  0.368211  0.853926  -0.007055  0.676369  0.573441  0.541157  -0.736639  0.347329  1.351446  -0.070094  -0.558885  0.191844  -0.178047  -0.610910  1.413236
1071  -1.398371  -0.301038  0.512479  1.666384  1.279988  1.033276  0.790629  0.365737  0.797460  2.421175  1.435625  -1.340729  -1.323212  -0.896560  -0.197351  NaN
1072  -2.957060  0.295086  -0.029122  -0.407682  -0.200765  1.503713  -0.221304  1.059826  0.880928  0.641853  2.931929  -2.062823  -0.095669  -0.393835  -0.138287  0.590590
1073  -0.853995  0.350724  -0.025475  -0.315709  -0.002702  1.467933  -0.527541  0.120765  -0.478409  0.622097  0.190481  0.132108  -0.492686  -0.616601  0.279470  1.862924
1074  -2.508377  -0.606254  -0.097241  -0.144234  0.101045  1.436129  -0.337296  -0.614152  -0.839110  0.677092  0.583797  0.448293  -1.468715  -0.928199  -0.312362  1.289915
1075  0.400005  -0.645995  -1.613966  -0.152808  -1.436297  1.556720  -0.991708  0.324909  0.237032  NaN  -0.740157  -0.556547  -0.132838  -0.418050  0.306255  NaN
1076  0.266972  -0.563333  -1.840552  0.130905  -0.738363  1.473234  -0.208206  0.161594  0.672258  1.330556  -0.406856  -1.180613  1.352865  1.505778  -0.783486  1.038821
1077  -0.169408  -0.010130  -0.897195  1.620398  -0.436553  1.221451  -1.114356  -0.001721  -0.696022  0.656936  -0.068446  0.464107  0.173231  -0.193682  0.456972  1.140385
1078  0.257603  0.563739  -0.454173  0.837849  -0.238491  1.013399  -1.225873  -0.450837  -0.603611  0.360471  -0.025216  0.394035  -1.103255  -0.840580  1.012013  1.146456
1079  0.717046  -0.405956  -0.903217  0.118434  0.553759  1.012074  0.471337  -0.654981  -0.281663  1.152089  0.001221  0.056170  1.009905  0.825524  3.049150  1.071019
1080  0.211706  -0.331242  -0.880293  -0.165279  0.751822  1.009423  0.734793  0.243251  -0.621497  1.561814  -0.090709  0.389851  1.675385  2.356101  2.128106  0.941983
1081  0.398030  0.118633  0.178662  -0.860532  0.949884  -0.629816  -1.121702  0.243251  2.302865  1.196606  -2.590446  -2.911787  -1.535077  -0.941371  0.182660  1.101897
1082  1.257029  -0.712761  0.030528  -0.420933  1.383735  -0.531753  -0.571318  0.814853  -1.012008  NaN  -0.203962  0.902511  -0.264146  -0.497677  0.253183  NaN
1083  2.180853  -0.871728  0.916340  2.650027  1.440325  -0.119624  0.502892  0.406566  -0.365131  NaN  NaN  NaN  -1.605054  -0.954473  0.508417  NaN
1084  0.901484  0.272831  0.475143  -0.497317  -0.361101  0.125533  0.554210  0.733196  -0.588706  -0.237397  0.375612  0.645509  -0.343193  -0.541468  1.160039  -0.564495
1085  1.150921  -0.871728  0.568805  -1.139568  0.997042  -0.109023  -1.165362  0.284080  -0.669193  1.785331  -0.144368  0.666725  0.016081  -0.316211  0.032101  1.716993
1086  0.532275  0.749730  0.202532  -0.851179  0.666938  -0.215037  -0.224594  0.161594  -0.508219  0.785747  0.008657  0.657951  -1.760900  -0.980978  0.517580  0.315623
1087  -0.639637  -0.204069  -0.617087  -0.898724  1.119652  -0.079869  0.057945  -0.165036  1.220762  2.011650  0.336324  -1.154098  -2.733964  -1.085924  0.451430  0.881160
1088  -0.583436  -0.871728  -1.219698  -0.893268  -1.653223  0.277928  -0.479286  -0.165036  -0.749680  NaN  -0.369186  0.740801  -1.378800  -0.909115  0.003788  NaN
1089  0.289471  0.558970  -0.811748  -0.717116  -0.115881  0.091078  -0.677493  0.365737  -1.664847  -0.421870  -0.184759  1.054504  0.218869  -0.154896  0.194377  -1.145746
1090  0.322371  -0.170686  0.641944  -0.399888  -1.002446  0.246124  0.715292  -0.491666  -0.269739  NaN  -0.264877  0.509043  0.899786  0.646210  1.808606  0.230598
1091  -0.791623  -0.183403  0.307107  0.562710  -0.644047  0.043372  0.009891  -0.205865  -0.964312  0.179135  -1.884174  0.844983  0.751215  0.429588  0.470047  -0.586033
1092  1.794026  0.442925  0.841615  1.705356  0.883863  -0.392610  -0.437611  -0.205865  0.532151  NaN  3.933359  -0.113459  -0.810013  -0.747495  -1.165502  0.272245
1093  0.329838  0.633685  -0.394261  -0.321165  0.468875  -0.494648  -0.382328  -0.205865  0.585809  -0.065138  -0.362812  -0.237518  -2.968434  -1.100598  0.244919  -0.354445
1094  0.892517  -0.652354  -0.317128  -0.826237  1.270557  -0.543680  0.193544  -0.899954  -0.162423  NaN  -0.278193  0.409951  -1.269765  -0.883911  -0.181126  -0.008491
1095  -0.420076  0.013715  -0.968710  -0.468478  -0.323375  0.048673  -0.103727  -0.573324  -0.183290  NaN  0.311156  0.390945  -0.141943  -0.423865  -0.120196  -0.346121
1096  -2.096438  -0.728658  -0.645685  -0.901842  1.421461  -0.099747  -0.331558  -0.818296  0.329443  NaN  -0.330666  0.019200  0.142639  -0.218845  0.319233  NaN
1097  0.425171  -0.927366  -1.229397  -0.454448  -1.502318  0.185166  -0.274306  1.304798  -1.390595  NaN  -0.171876  0.997892  -1.055637  -0.827008  0.528235  NaN
1098  0.367579  0.124992  -0.982885  -0.504332  -0.266785  -0.102397  -1.126501  -0.083379  0.705049  -0.506498  -0.489437  -0.490842  -0.483077  -0.612055  0.333651  -0.701003
1099  0.518101  -0.932135  -0.917854  -0.772456  -1.549476  -0.180582  -0.068445  1.304798  NaN  -0.408254  NaN  NaN  -0.264160  -0.497685  -0.089789  NaN
1100  0.817777  -0.010130  -0.766628  -0.790383  -0.389396  -0.258767  -0.443254  -0.369180  0.344348  -0.552282  0.792038  0.063098  -0.355349  -0.547943  0.182821  -0.247716
1101  -0.244414  -0.351907  -1.014351  -0.830913  -1.615497  -0.378033  -0.461614  -0.736639  0.702068  NaN  -0.307543  -0.309666  -1.505547  -0.935602  0.278787  NaN
1102  -0.719856  -0.021257  -1.169115  -0.972770  -0.389396  0.042047  -0.883045  -0.083379  -0.052126  -0.240467  0.477681  0.300690  -0.144930  -0.425762  -0.556197  0.317628
1103  -0.770415  0.172682  -0.535878  -1.134112  0.402854  -0.252142  1.249665  -0.001721  0.302614  0.069746  0.569727  -0.005004  0.212310  -0.160565  -0.369696  0.363507
1104  -0.829222  -0.324883  -0.742630  -0.615011  -0.804384  0.485980  0.502258  -0.246694  0.228089  0.959341  -0.401385  -0.081408  -0.199061  -0.459328  0.996828  -0.266040
1105  -0.709477  -0.248579  -0.817315  -0.807530  -0.738363  0.488630  1.350691  -1.022440  -1.083552  0.749973  -0.401890  0.857792  -0.817730  -0.750256  1.033814  0.986817
1106  -1.992396  -0.803372  0.154806  -0.722572  -0.219628  0.199742  1.560234  0.692367  1.113446  -0.990305  1.577290  -1.132942  0.756987  0.437499  -0.031280  -0.409498
1107  0.196764  -0.239041  -0.315499  0.006196  0.723527  0.006267  0.615963  0.814853  -0.505238  1.019274  -0.043678  0.560327  0.111266  -0.243974  0.710623  -0.769023
1108  0.465797  -0.782706  -1.138971  -1.037463  -0.313943  -0.123600  0.934952  0.529052  0.570904  -0.486742  -0.831156  -0.201461  -0.069977  -0.376641  0.363020  -1.356318
1109  0.202606  0.097968  -0.819835  -0.964196  0.119908  -0.348879  -0.805907  -0.614152  -0.666212  -0.519579  -0.263480  0.687131  0.289723  -0.091595  -0.224090  -1.128961
1110  -1.238954  -0.971877  -1.684728  -0.767000  -1.464592  0.593319  -0.103735  1.100654  -1.316070  NaN  -0.096886  0.954784  0.249771  -0.127760  0.725172  NaN
1111  -2.015599  -0.474312  0.869407  -0.212824  0.997042  0.951116  -0.900697  -1.104097  -0.985179  NaN  -0.449766  0.672812  0.440148  0.056235  -0.222973  0.034421
1112  -1.284558  -0.520412  0.621805  -0.150470  1.393167  1.181696  -0.969722  -1.675699  -0.230986  2.575814  -0.289235  0.097500  -0.831834  -0.755255  -1.628911  0.162632
1113  -1.302108  -0.644406  -0.477456  -0.173073  -0.974151  1.041227  1.526115  1.018997  -0.892768  1.514361  -0.004379  0.812138  -1.871007  -0.997682  0.437332  1.203488
1114  -0.536423  0.783113  0.730058  0.170656  0.214223  0.216970  1.241194  0.120765  -0.436675  NaN  -0.123695  0.418440  0.622536  0.263004  -0.859065  0.437049
1115  -1.391178  -0.649175  0.766376  -0.566686  1.110220  0.312382  0.280371  1.059826  -1.369728  2.088603  0.829716  0.972606  -0.173034  -0.443383  -0.156061  0.585123
